20,0,0
22,1,1
23,2,2
24,3,3
25,4,4
26,4,5
27,5,6
28,5,7
29,6,8
30,7,9
31,8,10
33,10,12
34,11,13
37,13,16
42,15,21
43,16,22
45,18,21
46,19,22
47,20,23
48,21,24
49,22,73
50,23,73
51,24,40
52,25,113
53,26,42
54,27,47
55,28,61
56,28,
57,158,43
58,29,121
59,30,97
60,31,43
61,32,90
62,34,115
64,35,27
65,36,100
66,37,36
67,38,124
69,40,22
70,41,22
71,42,89
72,43,63
73,44,46
74,45,44
75,46,74
80,48,29
82,50,22
83,51,49
84,52,122
85,52,
86,53,35
87,54,79
90,57,3
91,58,30
92,59,55
93,60,117
94,61,45
96,63,14
97,64,14
98,65,53
99,66,123
101,67,41
102,69,78
103,70,129
104,71,125
106,73,42
109,76,264
110,77,31
111,77,32
112,78,83
113,79,3
115,81,99
116,82,56
117,83,81
118,84,81
120,86,37
121,87,116
122,88,87
123,89,86
124,90,113
125,91,95
128,94,11
129,94,71
130,95,80
131,96,69
132,97,104
133,98,104
134,99,82
135,100,127
136,101,70
137,102,76
138,103,103
140,105,308
141,106,80
143,108,50
146,111,25
147,112,108
148,113,22
149,114,96
150,115,72
152,117,100
153,118,107
154,119,126
155,120,124
156,121,120
157,122,108
158,123,119
159,124,85
161,126,75
162,127,33
163,128,98
164,129,86
166,131,95
167,132,67
168,133,28
169,134,34
171,136,1
172,137,26
173,138,57
174,139,122
175,140,128
179,144,67
180,144,68
181,145,38
183,147,130
184,148,108
186,151,3
187,150,1
188,152,64
189,152,
190,153,88
192,155,3
193,156,3
196,5,
197,48,
198,163,86
199,162,73
200,164,1
201,165,136
203,167,137
204,168,138
208,132,68
209,122,140
210,114,160
213,84,165
214,83,165
216,43,179
217,35,182
218,20,184
220,169,30
221,171,210
222,172,211
223,173,43
224,170,209
225,174,11
226,174,
227,175,80
228,176,80
229,177,213
230,178,41
231,179,86
232,180,1
233,181,214
234,182,41
235,183,215
236,184,216
237,185,215
238,186,46
239,187,218
241,194,221
242,193,223
243,189,224
244,190,225
245,191,226
246,192,224
247,195,25
248,196,229
249,197,230
251,198,231
252,199,232
253,200,233
254,201,234
255,202,235
256,203,41
257,204,236
259,206,214
260,209,237
261,208,96
262,207,238
263,210,41
264,211,41
265,212,45
266,213,45
267,214,45
268,215,125
269,216,125
270,217,239
271,218,170
272,219,240
273,220,242
274,221,243
275,222,244
276,223,282
277,224,246
278,225,247
279,225,248
280,226,249
281,227,250
283,229,252
286,233,256
287,234,257
288,235,258
289,237,260
290,238,265
291,239,262
292,240,263
293,241,266
296,244,271
297,245,396
298,245,397
299,245,
300,245,
301,245,369
302,247,281
305,246,284
307,248,113
308,249,285
309,249,286
310,250,288
311,250,289
312,251,170
314,252,295
315,135,207
316,253,297
317,253,298
318,254,301
320,255,67
321,255,304
322,256,137
323,257,137
324,258,306
325,259,207
326,260,307
327,261,36
328,262,308
329,262,46
330,186,308
331,105,46
332,263,309
333,264,310
334,265,311
335,266,76
336,267,223
337,268,184
340,271,315
342,283,22
343,284,316
357,295,22
358,294,135
359,293,22
360,292,398
361,291,198
362,290,108
363,289,1
365,286,133
366,288,404
367,288,405
368,288,406
369,288,276
371,298,421
372,314,133
373,307,3
374,312,19
375,315,69
376,315,432
377,300,22
379,308,135
381,332,442
382,333,306
383,334,445
384,329,439
385,304,446
386,335,398
387,303,108
388,299,108
389,301,1
390,302,1
391,313,417
