68,HC,1 edition,30,English,1,224,"New York City, USA",Knopf,,2006-09-26,7.80000019073486,0.800000011920929,8.19999980926514,inches
69,HC,First Edition edition,29,English,1,228,"New York, USA",Bloomsbury USA,7.7 x 0.9 x 9.5 inches,2014-05-06,7.7,0.9,9.5,inches
70,SC,,31,English,1,224,"Marietta, USA",Top Shelf Productions,0.8 x 5.5 x 7.5 inches,2004-08-03,5.5,0.800000011920929,7.5,inches
71,HC,1 edition,32,English,1,464,"Seattle, USA",Fantagraphics,5.9 x 1.6 x 8.3 inches,2013-05-17,5.9,1.6,8.3,inches
74,SC,Reprint edition,34,English,1,144,"New York, USA",Picador,5.5 x 0.3 x 8.2 inches,2004-08-01,5.5,0.3,8.2,inches
75,SC,"1ª ed, 1ª imp edition",35,Spanish,1,144,"Madrid, Spain",Alfaguara,6.2 x 0.4 x 8.5 inches,2011-02-15,6.2,0.4,8.5,inches
76,HC,"1ª ed, 1ª imp edition",35,Spanish,1,144,"Madrid, Spain",Alfaguara,6.1 x 0.4 x 8.5 inches,2012-04-11,6.1,0.4,8.5,inches
77,HC,,36,English,2,512,"New York, USA",Marvel,,2008-11-26,7.59999990463257,1.10000002384186,11.1999998092651,inches
78,SC,,36,English,2,208,"New York City, USA",Marvel,6.8 x 0.4 x 10.2 inches,2007-04-11,6.8,0.4,10.2,inches
79,SC,,37,English,1,208,"Berkeley, USA",Image Comics,0.5 x 6.5 x 10 inches,2014-01-21,6.5,0.5,10.0,inches
80,SC,,38,English,1,112,"New Delhi, India",Penguin Books,8.5 x 6.3 x 0.4 inches,2004-03-01,6.30000019073486,0.400000005960464,8.5,inches
82,SC,,40,English,2,203,"New York, USA",Marvel,6.6 x 0.5 x 10.1 inches,2010-01-20,6.6,0.5,10.1,inches
83,HC,1st Edition,40,English,2,248,"New York City, USA",Marvel,10.4 x 6.9 x 0.8 inches,2010-01-01,6.90000009536743,0.800000011920929,10.3999996185303,inches
84,SC,,41,English,1,155,"New York, USA",Marvel,6.8 x 0.5 x 10.2 inches,2010-06-16,6.8,0.5,10.2,inches
85,SC,1st Edition,42,English,1,250,"Tuscaloosa, USA",University Alabama Press,6.1 x 0.8 x 9.2 inches,2012-03-01,6.1,0.8,9.2,inches
86,SC,1st edition,43,English,2,248,"New York, USA",DC Comics,6.7 x 0.6 x 10.2 inches,2011-02-08,6.7,0.6,10.2,inches
87,HC,Deluxe edition,43,English,2,272,"New York City, USA",Vertigo,7.5 x 0.9 x 11.2 inches,2014-04-22,7.5,0.9,11.2,inches
88,SC,The Deluxe Edition,44,English,1,511,"New York, USA",DC Comics,,2004-12-01,6.69999980926514,1.10000002384186,10.1999998092651,inches
89,SC,,45,English,1,96,"New York, USA",Marvel,6.8 x 0.2 x 10.2 inches,2012-11-14,6.8,0.2,10.2,inches
90,SC,,46,English,1,78,"New York, USA",First Second,6.1 x 0.3 x 8.5 inches,2006-05-02,6.1,0.3,8.5,inches
92,HC,,48,Spanish,1,240,"New York City, USA",Arcade Publishing ,7 x 1.3 x 9.7 inches,2016-05-03,6.30000019073486,0.899999976158142,9.30000019073486,inches
94,HC,First Edition,50,English,1,80,"New York, USA",Marvel,12 x 9.3 x 5 inches,1991-01-01,9.30000019073486,0.5,12.0,inches
95,SC,First Printing Edition,50,English,1,73,"New York City, USA",Marvel,8.4 x 5.8 x 0.7 inches,1996-01-01,5.80000019073486,0.699999988079071,8.39999961853027,inches
96,SC,Reprint Edition,51,English,3,368,"New York City, USA",Pantheon,6.5 x 1 x 8.7 inches,2006-07-04,6.5,1.0,8.7,inches
97,HC,,51,English,3,368,"New York City, USA",Pantheon,6.7 x 1.3 x 9 inches,2005-01-04,6.7,1.3,9.0,inches
98,HC,,52,English,2,168,"Montreal, Canada",Drawn and Quarterly,9.3 x 7.1 x 0.9 inches,2007-06-12,7.09999990463257,0.899999976158142,9.30000019073486,inches
99,SC,,52,English,2,174,"Montreal, Canada",Drawn and Quarterly,6.5 x 0.7 x 9 inches,2008-12-23,6.5,0.7,9.0,inches
100,HC,1st Edition,53,English,1,144,"New York, USA",Vertigo,6.9 x 0.6 x 10.4 inches,2006-10-18,6.9,0.6,10.4,inches
101,SC,2.4.2008 edition,53,English,1,140,"New York City, USA",Vertigo,6.6 x 0.3 x 10.2 inches,2006-10-18,6.6,0.3,10.2,inches
102,SC,Gph edition,54,English,1,180,"Milwaukee, USA",Dark Horse,11.1 x 8.6 x 0.9 inches,1996-10-15,8.60000038146973,0.899999976158142,11.1000003814697,inches
106,SC,New edition,57,English,3,572,"Marietta, Georgia, USA",Top Shelf Productions,1.5 x 7.8 x 10.2 inches,2004-06-08,7.80000019073486,1.5,10.2,inches
107,HC,,57,English,3,560,"Marietta, Georgia, USA",Top Shelf Productions,1.5 x 7.2 x 10 inches,2008-04-18,7.19999980926514,1.5,10.0,inches
108,HC,1St Edition,58,English,5,240,"Boston, USA",Houghton Mifflin Harcourt,8.6.2006,2006-06-08,6.0,0.699999988079071,9.0,inches
109,SC,Reprint edition,58,English,5,232,"Boston, USA",Houghton Mifflin Harcourt,6 x 0.7 x 9 inches,2007-06-05,6.0,0.7,9.0,inches
110,SC,Original edition,59,English,1,256,"New York, USA",Secret Acres,0.8 x 5.5 x 8.5 inches,2010-12-01,5.5,0.800000011920929,8.5,inches
111,HC,1st edition,60,English,3,112,"New York City, USA",Pantheon,7.8 x 0.6 x 12.3 inches,2005-02-01,7.8,0.6,12.3,inches
112,SC,New edition,60,English,3,104,"New York City, USA",Pantheon,6.6 x 0.3 x 11.3 inches,2001-01-01,6.6,0.3,11.3,inches
